id,nome,descricao,preco,estoque,categoria
1,Notebook Dell XPS 13,"Notebook compacto e potente, com tela de 13 polegadas e processador i7.",5500.0,15,Notebook
2,Smartphone Samsung Galaxy S23,Smartphone com câmera de 200MP e bateria de longa duração.,4000.0,30,Smartphone
3,"Monitor LG UltraWide 34""","Monitor ultrawide com resolução 1440p, ideal para trabalho e jogos.",2500.0,8,Monitor
4,Fone de Ouvido Sony WH-1000XM5,Fones de ouvido com cancelamento de ruído e áudio de alta qualidade.,1800.0,25,Fone de Ouvido
5,Teclado Mecânico Logitech G Pro X,Teclado mecânico com switches customizáveis e iluminação RGB.,700.0,50,Teclado
6,Tablet Samsung Galaxy Tab S8,Tablet com tela AMOLED e alto desempenho para produtividade e entretenimento.,2200.0,12,Tablet
7,Câmera Sony Alpha 7 IV,Câmera mirrorless com excelente desempenho em baixa luminosidade e 4K.,10000.0,5,Câmera
8,Mouse Razer DeathAdder V2,Mouse ergonômico e preciso para gamers e profissionais.,400.0,20,Mouse
9,Placa de Vídeo NVIDIA RTX 3080,Placa de vídeo para gamers e criadores de conteúdo com alto desempenho.,3500.0,10,Placa de Vídeo
10,Carregador Wireless Anker,Carregador sem fio eficiente e compatível com vários dispositivos.,200.0,100,Carregador
11,Fone de Ouvido Bose QuietComfort 35 II,Fones de ouvido com qualidade de áudio imersiva e cancelamento de ruído.,1300.0,40,Fone de Ouvido
12,Impressora HP LaserJet Pro,Impressora multifuncional para uso doméstico e escritório.,1500.0,60,Impressora
13,Teclado Bluetooth Logitech K780,"Teclado sem fio, com design compacto e suporte para múltiplos dispositivos.",250.0,30,Teclado
14,"Monitor BenQ 24"" Full HD","Monitor de 24"" com boa qualidade de imagem para uso diário.",800.0,15,Monitor
15,Projetor Epson Home Cinema 2150,Projetor Full HD para entretenimento e apresentações.,2200.0,8,Projetor
16,Placa Mãe ASUS ROG Crosshair,Placa mãe de alto desempenho para PCs gamers e criadores.,3500.0,20,Placa Mãe
17,SSD Samsung 970 Evo Plus 1TB,SSD NVMe rápido para melhorar o desempenho do seu computador.,450.0,10,SSD
18,Câmera Webcam Logitech C920,Webcam Full HD ideal para videoconferências e streaming.,90.0,50,Webcam
19,Mouse Logitech MX Master 3,Mouse com design ergonômico e botões programáveis.,700.0,35,Mouse
20,Headset HyperX Cloud II,Headset com som surround e microfone de alta qualidade.,1200.0,45,Headset
21,Cabo HDMI 4K UGREEN,Cabo HDMI 4K com alta velocidade de transferência de dados.,2000.0,50,Cabo
22,Smartwatch Apple Watch Series 7,Smartwatch com monitoramento de saúde e integração com dispositivos Apple.,2500.0,20,Smartwatch
23,Tablet Apple iPad Pro,Tablet de alto desempenho com Apple Pencil e display Retina.,2700.0,30,Tablet
24,"Monitor Dell 27"" 4K","Monitor 4K com precisão de cores, ideal para designers e criadores.",1800.0,15,Monitor
25,Teclado Mecânico Corsair K95 RGB,Teclado mecânico com teclas dedicadas para produtividade e jogos.,5000.0,18,Teclado
26,Notebook Lenovo ThinkPad X1 Carbon,"Notebook com desempenho avançado, ideal para profissionais de TI.",1500.0,30,Notebook
27,Carregador Portátil Anker PowerCore 26800,Carregador portátil de alta capacidade para viagens e emergências.,200.0,12,Carregador
28,Fone de Ouvido JBL Tune 500BT,Fones de ouvido Bluetooth com som de qualidade e design confortável.,1100.0,25,Fone de Ouvido
29,Computador Desktop Gamer,Desktop gamer com alto desempenho para jogos e edição de vídeo.,1500.0,10,Computador
30,Câmera Instantânea Fujifilm Instax Mini 11,Câmera instantânea para fotos divertidas e compartilhamento imediato.,3500.0,50,Câmera Instantânea
