id,name,description,price,stock,category
1,Notebook Dell XPS 13,Compact and powerful notebook with 13-inch screen and i7 processor.,5500.0,15,Notebook
2,Samsung Galaxy S23 Smartphone,Smartphone with 200MP camera and long-lasting battery.,4000.0,30,Smartphone
3,"LG UltraWide 34"" Monitor","Ultrawide monitor with 1440p resolution, ideal for work and gaming.",2500.0,8,Monitor
4,Sony WH-1000XM5 Headphones,Headphones with noise cancellation and high-quality audio.,1800.0,25,Headphones
5,Logitech G Pro X Mechanical Keyboard,Mechanical keyboard with customizable switches and RGB lighting.,700.0,50,Keyboard
6,Samsung Galaxy Tab S8 Tablet,Tablet with AMOLED screen and high performance for productivity and entertainment.,2200.0,12,Tablet
7,Sony Alpha 7 IV Camera,Mirrorless camera with excellent low-light performance and 4K.,10000.0,5,Camera
8,Razer DeathAdder V2 Mouse,Ergonomic and precise mouse for gamers and professionals.,400.0,20,Mouse
9,NVIDIA RTX 3080 Graphics Card,Graphics card for gamers and content creators with high performance.,3500.0,10,Graphics Card
10,Anker Wireless Charger,Efficient wireless charger compatible with various devices.,200.0,100,Charger
11,Bose QuietComfort 35 II Headphones,Headphones with immersive audio quality and noise cancellation.,1300.0,40,Headphones
12,HP LaserJet Pro Printer,Multifunction printer for home and office use.,1500.0,60,Printer
13,Logitech K780 Bluetooth Keyboard,Wireless keyboard with compact design and multi-device support.,250.0,30,Keyboard
14,"BenQ 24"" Full HD Monitor","24"" monitor with good image quality for daily use.",800.0,15,Monitor
15,Epson Home Cinema 2150 Projector,Full HD projector for entertainment and presentations.,2200.0,8,Projector
16,ASUS ROG Crosshair Motherboard,High-performance motherboard for gaming PCs and creators.,3500.0,20,Motherboard
17,Samsung 970 Evo Plus 1TB SSD,Fast NVMe SSD to improve your computer's performance.,450.0,10,SSD
18,Logitech C920 Webcam,Full HD webcam ideal for video conferences and streaming.,90.0,50,Webcam
19,Logitech MX Master 3 Mouse,Mouse with ergonomic design and programmable buttons.,700.0,35,Mouse
20,HyperX Cloud II Headset,Headset with surround sound and high-quality microphone.,1200.0,45,Headset
21,UGREEN 4K HDMI Cable,4K HDMI cable with high data transfer speed.,2000.0,50,Cable
22,Apple Watch Series 7,Smartwatch with health monitoring and Apple device integration.,2500.0,20,Smartwatch
23,Apple iPad Pro,High-performance tablet with Apple Pencil and Retina display.,2700.0,30,Tablet
24,"Dell 27"" 4K Monitor","4K monitor with color accuracy, ideal for designers and creators.",1800.0,15,Monitor
25,Corsair K95 RGB Mechanical Keyboard,Mechanical keyboard with dedicated keys for productivity and gaming.,5000.0,18,Keyboard
26,Lenovo ThinkPad X1 Carbon Notebook,"Notebook with advanced performance, ideal for IT professionals.",1500.0,30,Notebook
27,Anker PowerCore 26800 Portable Charger,High-capacity portable charger for travel and emergencies.,200.0,12,Charger
28,JBL Tune 500BT Headphones,Bluetooth headphones with quality sound and comfortable design.,1100.0,25,Headphones
29,Gaming Desktop Computer,Gaming desktop with high performance for gaming and video editing.,1500.0,10,Computer
30,Fujifilm Instax Mini 11 Instant Camera,Instant camera for fun photos and immediate sharing.,3500.0,50,Instant Camera
